Throttle,iX,mX,Kp,Ki,Kd,dKp,dKi,dKd,best_err,err
0.000 0 0  0.100  0.000  1.000  0.010  0.000  0.100 1.0e+10 1.0e+10
0.000 0 1  0.100  0.000  1.000  0.011  0.000  0.100 0.71607 0.71607
0.000 0 2  0.111  0.000  1.000  0.010  0.000  0.100 0.71607 0.76951
0.000 2 1  0.111  0.000  0.800  0.010  0.000  0.100 0.71607 0.85923
0.000 2 2  0.111  0.000  0.900  0.010  0.000  0.090 0.71607 0.80794
0.000 0 1  0.111  0.000  0.900  0.011  0.000  0.090 0.63205 0.63205
0.000 0 2  0.122  0.000  0.900  0.010  0.000  0.090 0.63205 0.71084
0.000 2 1  0.122  0.000  0.900  0.010  0.000  0.099 0.56934 0.56934
0.000 2 2  0.122  0.000  0.999  0.010  0.000  0.089 0.56934 0.67769
0.000 0 1  0.102  0.000  0.999  0.010  0.000  0.089 0.56934 0.58887
0.000 0 2  0.112  0.000  0.999  0.009  0.000  0.089 0.56934 0.99673
0.000 2 1  0.112  0.000  0.821  0.009  0.000  0.089 0.56934 0.61043
0.000 2 2  0.112  0.000  0.910  0.009  0.000  0.080 0.56934 0.71373
0.000 0 0  0.122  0.000  0.900  0.010  0.000  0.090 1.0e+10 0.71084
0.000 0 1  0.122  0.000  0.900  0.011  0.000  0.090 0.54658 0.54658
0.000 0 2  0.133  0.000  0.900  0.010  0.000  0.090 0.54658 0.78281
0.000 2 1  0.133  0.000  0.900  0.010  0.000  0.099 0.52311 0.52311
0.000 2 2  0.133  0.000  0.999  0.010  0.000  0.089 0.52311 0.73806
0.000 0 1  0.133  0.000  0.999  0.011  0.000  0.089 0.47028 0.47028
0.000 0 2  0.144  0.000  0.999  0.010  0.000  0.089 0.47028 0.63153
0.000 2 1  0.144  0.000  0.999  0.010  0.000  0.098 0.45286 0.45286
0.000 2 2  0.144  0.000  0.999  0.010  0.000  0.108 0.44321 0.44321
0.000 0 1  0.124  0.000  0.999  0.010  0.000  0.108 0.44321 0.56395
0.000 0 2  0.134  0.000  0.999  0.009  0.000  0.108 0.44321 0.58560
0.000 2 1  0.134  0.000  0.783  0.009  0.000  0.108 0.44321 0.59461
0.000 2 2  0.134  0.000  0.891  0.009  0.000  0.097 0.44321 0.71164
0.000 0 0  0.144  0.000  0.999  0.010  0.000  0.098 1.0e+10 0.45286
0.000 0 1  0.144  0.000  0.999  0.011  0.000  0.098 0.54278 0.54278
0.000 0 2  0.155  0.000  0.999  0.010  0.000  0.098 0.54278 0.63722
0.000 2 1  0.155  0.000  0.803  0.010  0.000  0.098 0.54278 0.75905
0.000 2 2  0.155  0.000  0.901  0.010  0.000  0.088 0.54278 1.05683
0.000 0 1  0.135  0.000  0.901  0.010  0.000  0.088 0.54278 0.97910
0.000 0 2  0.145  0.000  0.901  0.009  0.000  0.088 0.54278 1.03751
0.000 2 1  0.145  0.000  0.725  0.009  0.000  0.088 0.54278 1.14896
0.000 2 2  0.145  0.000  0.813  0.009  0.000  0.079 0.54278 1.30621
0.000 0 1  0.127  0.000  0.813  0.009  0.000  0.079 0.54278 1.05953
0.000 0 0  0.144  0.000  1.998  0.010  0.000  0.098 1.0e+10 0.45286
0.000 0 1  0.144  0.000  1.998  0.011  0.000  0.098 0.56187 0.56187
0.000 0 2  0.155  0.000  1.998  0.010  0.000  0.098 0.56187 0.90492
0.000 2 1  0.155  0.000  1.802  0.010  0.000  0.098 0.56187 0.60185
0.000 2 2  0.155  0.000  1.900  0.010  0.000  0.088 0.56187 0.63032
0.000 0 1  0.155  0.000  1.900  0.011  0.000  0.088 0.50571 0.50571
0.000 0 2  0.166  0.000  1.900  0.010  0.000  0.088 0.50571 0.68062
0.000 2 1  0.166  0.000  1.900  0.010  0.000  0.097 0.48637 0.48637
0.000 2 2  0.166  0.000  1.997  0.010  0.000  0.087 0.48637 0.72250
0.000 0 1  0.146  0.000  1.997  0.010  0.000  0.087 0.48637 0.52295
0.000 0 2  0.156  0.000  1.997  0.009  0.000  0.087 0.48637 0.88103
0.000 0 0  0.144  0.000  1.500  0.010  0.000  0.098 1.0e+10 0.45286
0.000 0 1  0.144  0.000  1.500  0.011  0.000  0.098 0.46467 0.46467
0.000 0 2  0.155  0.000  1.500  0.010  0.000  0.098 0.46467 0.52484
0.000 2 1  0.155  0.000  1.304  0.010  0.000  0.098 0.46467 0.53605
0.000 2 2  0.155  0.000  1.402  0.010  0.000  0.088 0.46467 0.47695
0.000 0 1  0.135  0.000  1.402  0.010  0.000  0.088 0.46467 0.50182
0.000 0 2  0.145  0.000  1.402  0.009  0.000  0.088 0.46467 0.66071
0.000 2 1  0.145  0.000  1.226  0.009  0.000  0.088 0.46467 0.50947
0.000 2 2  0.145  0.000  1.314  0.009  0.000  0.079 0.46467 0.59998
0.000 0 1  0.127  0.000  1.314  0.009  0.000  0.079 0.46467 0.65030
0.000 0 2  0.136  0.000  1.314  0.008  0.000  0.079 0.46467 0.70101
0.000 2 1  0.136  0.000  1.155  0.008  0.000  0.079 0.46467 0.56630
0.000 2 2  0.136  0.000  1.234  0.008  0.000  0.071 0.46467 0.61925
0.000 0 0  0.136  0.000  1.314  0.008  0.000  0.079 1.0e+10 0.70101
0.000 0 0  0.136  0.000  2.000  0.008  0.000  0.079 1.0e+10 0.70101
0.000 0 1  0.136  0.000  2.000  0.009  0.000  0.079 0.77004 0.77004
0.000 0 2  0.145  0.000  2.000  0.008  0.000  0.079 0.77004 0.98681
0.000 2 1  0.145  0.000  2.000  0.008  0.000  0.087 0.66093 0.66093
0.000 2 2  0.145  0.000  2.087  0.008  0.000  0.078 0.66093 0.91883
0.000 0 1  0.129  0.000  2.087  0.008  0.000  0.078 0.66093 2.82712
0.000 0 2  0.137  0.000  2.087  0.007  0.000  0.078 0.66093 1.00425
0.000 2 1  0.137  0.000  1.930  0.007  0.000  0.078 0.66093 1.07138
0.000 2 2  0.137  0.000  2.009  0.007  0.000  0.070 0.66093 0.74081
0.000 0 1  0.123  0.000  2.009  0.007  0.000  0.070 0.66093 0.91372
0.000 0 2  0.130  0.000  2.009  0.006  0.000  0.070 0.66093 0.95820
0.000 2 1  0.130  0.000  1.868  0.006  0.000  0.070 0.66093 1.07192
0.000 2 2  0.130  0.000  1.938  0.006  0.000  0.063 0.66093 0.76026
