Throttle,iX,mX,Kp,Ki,Kd,dKp,dKi,dKd,best_err,err
0.300 0 0  0.000  0.000  0.000  0.05  0.000  0.005 1.0e+10 1.0e+10
0.300 0 1  0.000  0.000  0.000  0.055  0.000  0.005 0.71607 0.71607
0.300 0 2  0.055  0.000  0.000  0.050  0.000  0.005 0.71607 0.76951
0.300 2 1  0.055  0.000 -0.010  0.050  0.000  0.005 0.71607 0.85923
0.300 2 2  0.055  0.000 -0.005  0.050  0.000  0.005 0.71607 0.80794
0.300 0 1  0.055  0.000 -0.005  0.054  0.000  0.005 0.63205 0.63205
0.300 0 2  0.109  0.000 -0.005  0.049  0.000  0.005 0.63205 0.71084
0.300 2 1  0.109  0.000 -0.005  0.049  0.000  0.005 0.56934 0.56934
0.300 2 2  0.109  0.000 -0.000  0.049  0.000  0.004 0.56934 0.67769
0.300 0 1  0.011  0.000 -0.000  0.049  0.000  0.004 0.56934 0.58887
0.300 0 2  0.060  0.000 -0.000  0.044  0.000  0.004 0.56934 0.99673
0.300 2 1  0.060  0.000 -0.009  0.044  0.000  0.004 0.56934 0.61043
0.300 2 2  0.060  0.000 -0.005  0.044  0.000  0.004 0.56934 0.71373
0.400 0 0  0.109  0.000 -0.005  0.049  0.000  0.005 1.0e+10 0.71084
0.400 0 1  0.109  0.000 -0.005  0.054  0.000  0.005 0.54658 0.54658
0.400 0 2  0.163  0.000 -0.005  0.049  0.000  0.005 0.54658 0.78281
0.400 2 1  0.163  0.000 -0.005  0.049  0.000  0.006 0.52311 0.52311
0.400 2 2  0.163  0.000  0.001  0.049  0.000  0.005 0.52311 0.73806
0.400 0 1  0.163  0.000  0.001  0.053  0.000  0.005 0.47028 0.47028
0.400 0 2  0.216  0.000  0.001  0.048  0.000  0.005 0.47028 0.63153
0.400 2 1  0.216  0.000  0.001  0.048  0.000  0.005 0.45286 0.45286
0.400 2 2  0.216  0.000  0.001  0.048  0.000  0.006 0.44321 0.44321
0.400 0 1  0.120  0.000  0.001  0.048  0.000  0.006 0.44321 0.56395
0.400 0 2  0.168  0.000  0.001  0.043  0.000  0.006 0.44321 0.58560
0.400 2 1  0.168  0.000 -0.011  0.043  0.000  0.006 0.44321 0.59461
0.400 2 2  0.168  0.000 -0.005  0.043  0.000  0.005 0.44321 0.71164
0.500 0 0  0.216  0.000  0.001  0.048  0.000  0.005 1.0e+10 0.45286
0.500 0 1  0.216  0.000  0.001  0.053  0.000  0.005 0.54278 0.54278
0.500 0 2  0.269  0.000  0.001  0.048  0.000  0.005 0.54278 0.63722
0.500 2 1  0.269  0.000 -0.009  0.048  0.000  0.005 0.54278 0.75905
0.500 2 2  0.269  0.000 -0.004  0.048  0.000  0.005 0.54278 1.05683
0.500 0 1  0.174  0.000 -0.004  0.048  0.000  0.005 0.54278 0.97910
0.500 0 2  0.221  0.000 -0.004  0.043  0.000  0.005 0.54278 1.03751
0.500 2 1  0.221  0.000 -0.013  0.043  0.000  0.005 0.54278 1.14896
0.500 2 2  0.221  0.000 -0.009  0.043  0.000  0.004 0.54278 1.30621
0.500 0 1  0.136  0.000 -0.009  0.043  0.000  0.004 0.54278 1.05953
0.500 0 0  0.216  0.000  0.001  0.048  0.000  0.005 1.0e+10 0.45286
0.500 0 1  0.216  0.000  0.001  0.053  0.000  0.005 0.56187 0.56187
0.500 0 2  0.269  0.000  0.001  0.048  0.000  0.005 0.56187 0.90492
0.500 2 1  0.269  0.000 -0.009  0.048  0.000  0.005 0.56187 0.60185
0.500 2 2  0.269  0.000 -0.004  0.048  0.000  0.005 0.56187 0.63032
0.500 0 1  0.269  0.000 -0.004  0.052  0.000  0.005 0.50571 0.50571
0.500 0 2  0.321  0.000 -0.004  0.047  0.000  0.005 0.50571 0.68062
0.500 2 1  0.321  0.000 -0.004  0.047  0.000  0.005 0.48637 0.48637
0.500 2 2  0.321  0.000  0.001  0.047  0.000  0.004 0.48637 0.72250
0.500 0 1  0.227  0.000  0.001  0.047  0.000  0.004 0.48637 0.52295
0.500 0 2  0.274  0.000  0.001  0.042  0.000  0.004 0.48637 0.88103
0.500 0 0  0.216  0.000  0.001  0.048  0.000  0.005 1.0e+10 0.45286
0.500 0 1  0.216  0.000  0.001  0.053  0.000  0.005 0.46467 0.46467
0.500 0 2  0.269  0.000  0.001  0.048  0.000  0.005 0.46467 0.52484
0.500 2 1  0.269  0.000 -0.009  0.048  0.000  0.005 0.46467 0.53605
0.500 2 2  0.269  0.000 -0.004  0.048  0.000  0.005 0.46467 0.47695
0.500 0 1  0.174  0.000 -0.004  0.048  0.000  0.005 0.46467 0.50182
0.500 0 2  0.221  0.000 -0.004  0.043  0.000  0.005 0.46467 0.66071
0.500 2 1  0.221  0.000 -0.013  0.043  0.000  0.005 0.46467 0.50947
0.500 2 2  0.221  0.000 -0.009  0.043  0.000  0.004 0.46467 0.59998
0.500 0 1  0.136  0.000 -0.009  0.043  0.000  0.004 0.46467 0.65030
0.500 0 2  0.179  0.000 -0.009  0.038  0.000  0.004 0.46467 0.70101
0.500 2 1  0.179  0.000 -0.017  0.038  0.000  0.004 0.46467 0.56630
0.500 2 2  0.179  0.000 -0.013  0.038  0.000  0.004 0.46467 0.61925
0.600 0 0  0.179  0.000 -0.009  0.038  0.000  0.004 1.0e+10 0.70101
0.600 0 0  0.179  0.000 -0.009  0.038  0.000  0.004 1.0e+10 0.70101
0.600 0 1  0.179  0.000 -0.009  0.042  0.000  0.004 0.77004 0.77004
0.600 0 2  0.221  0.000 -0.009  0.038  0.000  0.004 0.77004 0.98681
0.600 2 1  0.221  0.000 -0.009  0.038  0.000  0.004 0.66093 0.66093
0.600 2 2  0.221  0.000 -0.005  0.038  0.000  0.004 0.66093 0.91883
0.600 0 1  0.146  0.000 -0.005  0.038  0.000  0.004 0.66093 2.82712
0.600 0 2  0.183  0.000 -0.005  0.034  0.000  0.004 0.66093 1.00425
0.600 2 1  0.183  0.000 -0.013  0.034  0.000  0.004 0.66093 1.07138
0.600 2 2  0.183  0.000 -0.009  0.034  0.000  0.004 0.66093 0.74081
0.600 0 1  0.115  0.000 -0.009  0.034  0.000  0.004 0.66093 0.91372
0.600 0 2  0.149  0.000 -0.009  0.030  0.000  0.004 0.66093 0.95820
0.600 2 1  0.149  0.000 -0.016  0.030  0.000  0.004 0.66093 1.07192
0.600 2 2  0.149  0.000 -0.012  0.030  0.000  0.003 0.66093 0.76026
